,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
403,300145,中金环境,5.84,15.82,45.3755,249.5499,0.2075,1577.161,1.3119
404,300514,友讯达,5.83,12.41,43.0388,25.6862,0.2568,206.8969,2.0689
405,603026,石大胜华,5.82,3.49,8.7454,86.5536,0.427,2475.899,12.2158
406,600305,恒顺醋业,5.81,12.79,41.3696,93.8847,0.1557,733.5567,1.217
407,600497,驰宏锌锗,5.81,5.94,17.9439,544.6282,0.1263,9161.0141,2.1255
408,000070,特发信息,5.81,4.25,16.6315,105.9287,0.1689,2488.1543,3.9683
409,600557,康缘药业,5.8,11.5,75.2148,191.3821,0.3104,1663.2261,2.698
410,002365,永安药业,5.78,16.66,31.6386,71.3826,0.3633,428.4403,2.1808
411,002875,安奈儿,5.78,9.18,58.5859,44.4534,0.4445,483.8392,4.8383
412,600110,诺德股份,5.78,7.4,22.3241,115.0517,0.1,1552.6925,1.3498
413,002741,光华科技,5.78,8.41,23.9523,47.5002,0.1319,564.2404,1.5673
414,601128,常熟银行,5.77,24.17,31.0605,570.954,0.2568,2361.994,1.0626
415,300642,透景生命,5.77,39.62,81.2376,47.1367,0.7856,118.948,1.9824
416,002345,潮宏基,5.76,10.36,38.8872,162.6461,0.1924,1568.6985,1.8562
417,300568,星源材质,5.75,28.74,53.1303,70.9173,0.3693,246.6689,1.2847
418,002587,奥拓电子,5.75,13.72,38.0047,61.0766,0.0998,445.0257,0.7278
419,600548,深高速,5.73,35.18,51.5599,741.7308,0.3401,2108.385,0.9668
420,300274,阳光电源,5.73,10.42,27.4147,369.137,0.2547,3541.3223,2.4443
421,600548,深高速,5.73,35.18,51.5599,741.7308,0.3401,2108.385,0.9668
422,300626,华瑞股份,5.72,6.72,21.8397,25.9773,0.2597,386.2799,3.8627
423,300037,新宙邦,5.71,16.1,37.1759,126.9538,0.3354,788.42,2.0833
424,000928,中钢国际,5.67,7.0,13.5762,251.4987,0.2001,3591.8874,2.8582
425,000430,张家界,5.65,16.86,37.1246,38.6503,0.1204,229.1405,0.7142
426,603035,常熟汽饰,5.65,20.61,22.0393,120.44,0.4301,584.2142,2.0864
427,600796,钱江生化,5.64,15.18,21.8605,35.3292,0.1172,232.7024,0.772
428,300409,道氏技术,5.63,15.76,37.584,68.3175,0.3177,433.3943,2.0157
429,601368,绿城水务,5.63,27.49,46.6443,161.9914,0.2201,589.0941,0.8006
430,603258,电魂网络,5.6,38.77,92.2456,86.0931,0.3587,222.0493,0.9252
431,300428,四通新材,5.6,6.69,11.4085,36.1283,0.149,539.8028,2.2269
432,600769,祥龙电业,5.6,6.32,6.1562,2.6321,0.007,41.6146,0.1109
433,002385,大北农,5.59,6.25,24.9561,524.6644,0.1279,8384.7927,2.0447
434,002745,木林森,5.59,8.44,23.7269,306.1248,0.5794,3624.2396,6.8598
435,603826,坤彩科技,5.58,27.77,47.3991,62.0858,0.1724,223.5214,0.6208
436,603858,步长制药,5.56,11.78,82.3283,678.0652,0.9945,5751.4419,8.4356
437,002871,伟隆股份,5.55,21.76,43.5155,28.9039,0.425,132.8171,1.9531
438,300636,同和药业,5.55,21.82,38.8492,33.3889,0.4173,152.9851,1.9123
439,600123,兰花科创,5.55,12.84,36.1394,510.7062,0.447,3974.8648,3.4793
440,002376,新北洋,5.53,16.98,42.3035,134.2229,0.2125,790.3159,1.2515
441,002511,中顺洁柔,5.52,7.36,36.1589,156.4105,0.2063,2123.2164,2.8014
442,601933,永辉超市,5.51,3.72,20.4445,1055.2184,0.1102,28316.8862,2.9587
443,300017,网宿科技,5.5,17.03,34.0425,415.9556,0.1726,2442.1563,1.0134
444,300182,捷成股份,5.5,28.69,43.0904,522.0305,0.2043,1819.0856,0.7119
445,601595,上海电影,5.49,20.23,27.5318,106.7255,0.2857,527.3474,1.4119
446,300447,全信股份,5.48,23.2,51.5821,63.6659,0.2294,274.3296,0.9886
447,002885,京泉华,5.46,7.38,20.3309,34.9264,0.4365,472.943,5.9117
448,600785,新华百货,5.46,2.88,20.3893,108.6281,0.4814,3759.5073,16.6621
449,000090,天健集团,5.45,11.11,35.1092,346.1032,0.2889,3114.977,2.6006
450,600328,兰太实业,5.45,7.33,38.9511,116.2748,0.2654,1586.2699,3.6213
451,002643,万润股份,5.45,16.92,39.5372,213.6631,0.235,1262.2801,1.3884
452,300440,运达科技,5.45,27.55,49.6162,66.8549,0.1466,242.6157,0.532
453,603677,奇精机械,5.45,7.54,20.3095,46.9269,0.345,621.9773,4.5733
454,300467,迅游科技,5.44,35.65,68.3825,30.7898,0.1845,86.3493,0.5175
455,002217,合力泰,5.44,8.37,17.5584,510.3799,0.1631,6094.2395,1.948
456,600116,三峡水利,5.44,29.01,35.8623,137.1956,0.1381,472.9106,0.4762
