,code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
3036,2155,湖南黄金,黄金,湖南,32.01,10.66,12.02,670052.88,203612.38,215744.05,129106.65,1.07,0.208,3.76,2.37,20070816,173826.88,1.45,59.52,135.01,12.39,3.17,117386.0
3040,2717,岭南园林,建筑施工,广东,26.66,2.08,4.16,708059.25,459050.56,21243.74,146429.7,3.52,0.733,7.1,3.67,20140219,99749.86,2.4,55.34,76.18,30.8,11.93,26319.0
3055,671,阳 光 城,区域地产,福建,32.45,32.46,40.5,19638606.0,18093208.0,73009.93,355074.09,0.88,0.153,3.39,1.95,19961218,523622.81,1.29,108.08,70.25,21.39,3.99,49798.0
3078,426,兴业矿业,铅锌,内蒙,34.55,11.48,18.69,895752.0,58537.13,333625.78,227945.34,1.22,0.215,2.8,3.53,19960828,93238.75,0.5,187.53,352.62,62.25,27.72,29692.0
3079,2638,勤上股份,半导体,广东,53.78,9.79,15.19,739822.81,427817.59,27235.19,346182.94,2.28,0.067,3.41,1.4,20111125,13798.49,0.09,85.41,106.25,28.01,8.59,31280.0
3086,2430,杭氧股份,化工机械,浙江,48.03,8.32,9.65,1119679.13,589913.56,432167.34,168690.73,1.75,0.24,4.7,2.93,20100610,155103.19,1.61,30.49,249.53,20.36,4.46,27548.0
3112,402,金 融 街,全国地产,北京,17.34,29.87,29.89,11572408.0,8290135.0,257220.2,684000.69,2.29,0.483,9.37,1.19,19960626,1632800.63,5.46,87.96,79.63,29.79,9.08,81633.0
3145,2536,西泵股份,汽车配件,河南,20.37,3.09,3.34,303653.69,148655.5,120637.8,109457.6,3.28,0.534,5.95,2.44,20110111,50992.01,1.53,30.63,126.93,27.9,9.35,26661.0
3147,2443,金洲管道,钢加工,浙江,31.23,5.03,5.21,329408.0,202781.56,74427.4,77365.81,1.49,0.205,3.98,2.14,20100706,69717.86,1.34,50.43,151.02,10.81,4.0,57270.0
3155,2402,和而泰,元器件,深圳,44.39,7.19,8.3,192707.69,138917.22,24362.42,632.9,0.01,0.178,1.46,7.19,20100511,32321.2,0.39,45.72,54.11,22.03,10.27,53096.0
3158,2759,天际股份,家用电器,广东,61.32,0.96,4.52,378738.66,70494.27,41013.92,261366.27,5.78,0.347,7.7,3.69,20150528,38488.43,0.85,114.53,295.32,43.71,24.39,13937.0
