,code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
1122,600708,光明地产,全国地产,上海,14.86,9.89,17.14,5122413.5,4980656.0,30120.8,204986.25,1.2,0.35,5.38,1.29,19960606,512548.0,2.99,42.12,186.21,18.24,5.52,45440.0
1168,600746,江苏索普,化工原料,江苏,28.84,3.05,3.06,72255.36,40137.84,12866.46,6207.23,0.2,0.223,1.62,5.28,19960918,8919.3,0.29,32.59,195.89,20.46,11.43,21472.0
1180,600884,杉杉股份,电气设备,浙江,32.41,8.22,11.23,2078042.75,931037.19,230987.91,295897.72,2.64,0.417,8.22,2.19,19960130,253649.8,2.26,71.83,58.47,23.74,7.04,70256.0
1202,600998,九州通,医药商业,湖北,28.2,16.46,18.79,4757111.5,3995217.25,403650.59,450906.56,2.4,0.59,5.96,3.21,20101102,407756.22,2.17,20.4,108.78,8.2,1.75,21387.0
1216,603799,华友钴业,小金属,浙江,32.8,2.71,5.93,1375890.75,836729.69,328562.84,288167.81,4.86,1.852,8.92,9.08,20150129,169786.27,2.86,76.19,9723.36,33.25,17.86,52412.0
1217,600022,山东钢铁,普钢,山东,17.07,106.89,109.47,5110925.5,1730720.0,1307613.63,809070.13,0.74,0.11,1.56,1.43,20040629,-265848.53,-0.24,21.43,4031.6,6.68,2.44,318775.0
1274,600280,中央商场,百货,江苏,29.37,11.48,11.48,1598024.88,1243061.63,255309.66,1277.0,0.01,0.237,1.71,5.42,20000926,33828.07,0.29,43.73,240.1,23.83,4.21,57371.0
1277,603698,航天工程,专用机械,北京,36.3,0.89,4.12,381475.13,253883.17,65356.56,105933.5,2.57,0.416,5.99,3.36,20150128,86824.5,2.11,23.79,295.29,34.88,23.65,27476.0
1297,601717,郑煤机,工程机械,河南,28.95,13.78,17.32,1687148.38,1169585.88,256245.55,430338.41,2.48,0.19,6.27,1.13,20100803,418658.28,2.42,94.18,149.06,21.51,5.97,49321.0
1314,600883,博闻科技,水泥,云南,42.31,2.36,2.36,70893.9,40069.06,1375.32,824.22,0.03,0.184,2.86,3.63,19951208,29266.51,1.24,61.76,94.97,7.83,270.67,15967.0
1319,600980,北矿科技,元器件,北京,56.36,1.43,1.52,79929.63,54071.98,19102.68,27358.99,1.8,0.203,3.62,4.21,20040512,9074.26,0.6,49.59,70.77,29.79,9.46,27900.0
1331,600693,东百集团,百货,福建,51.51,6.85,8.98,653743.13,423280.19,68565.55,12741.26,0.14,0.154,2.28,4.63,19931122,84084.99,0.94,119.44,1606.07,19.74,5.16,13434.0
1366,601127,小康股份,汽车配件,重庆,27.84,1.8,9.09,2238655.5,1444912.88,285681.28,124380.07,1.37,0.55,4.48,4.47,20160615,191558.48,2.11,42.24,68.76,21.25,3.38,51406.0
1375,600815,*ST厦工,工程机械,福建,27.66,9.59,9.59,723271.44,539736.31,69866.92,205703.02,2.15,0.114,0.55,7.57,19940128,-275724.47,-2.88,35.52,120.75,9.92,3.27,50659.0
1378,600997,开滦股份,煤炭开采,河北,21.35,12.35,15.88,2340935.0,1004064.88,945103.38,256677.59,1.62,0.206,5.78,1.02,20040602,382132.13,2.41,84.99,60.63,9.91,2.31,64475.0
1383,601678,滨化股份,化工原料,山东,12.07,11.88,11.88,753735.69,167514.67,355298.97,127384.57,1.07,0.471,4.59,1.65,20100223,252899.8,2.13,36.8,300.82,26.78,12.2,46204.0
1390,600010,包钢股份,普钢,内蒙,61.98,220.39,455.85,14440730.0,3761919.25,6311459.0,139903.02,0.03,0.031,1.07,2.39,20010309,57339.48,0.01,74.39,497.81,15.15,4.03,505738.0
1394,600982,宁波热电,供气供热,浙江,25.73,7.47,7.47,407090.84,222107.55,81721.31,104906.63,1.4,0.124,3.35,1.27,20040706,54522.55,0.73,59.4,79.26,13.62,7.21,45321.0
1403,601001,大同煤业,煤炭开采,山西,11.47,16.74,16.74,2701883.0,1113434.38,514187.75,112711.22,0.67,0.392,3.4,1.76,20060623,101300.18,0.61,51.57,154.31,59.35,9.33,99278.0
1423,600586,金晶科技,玻璃,山东,28.04,14.34,14.58,978013.31,273805.06,481443.81,194863.66,1.34,0.117,2.89,1.51,20020815,74823.3,0.51,20.42,300.5,23.45,5.81,89907.0
1474,600798,宁波海运,水运,浙江,41.32,10.31,10.31,634804.31,48218.37,225885.2,116821.22,1.13,0.098,2.7,2.01,19970423,35972.85,0.35,39.9,85.51,25.1,8.62,87615.0
1534,600322,天房发展,区域地产,天津,30.52,11.06,11.06,3757897.25,3573770.0,9590.17,220524.2,1.99,0.164,3.93,1.7,20010910,73791.96,0.67,63.05,167.34,26.48,6.24,76002.0
1552,601101,昊华能源,煤炭开采,北京,11.11,12.0,12.0,2033147.75,342893.38,558562.19,323487.13,2.7,0.524,6.06,1.28,20100331,190061.38,1.58,50.08,643.64,41.17,13.97,56782.0
1561,603601,再升科技,玻璃,重庆,49.53,2.13,3.86,205011.44,100408.2,32409.96,60365.61,1.56,0.208,3.02,4.55,20150122,15540.34,0.4,81.86,65.32,39.32,19.44,23719.0
1567,601388,怡球资源,铝,江苏,24.66,20.25,20.25,452737.91,322734.41,110621.01,10885.42,0.05,0.12,1.19,3.31,20120423,37685.05,0.19,52.46,3847.48,11.24,6.15,77607.0
1572,603599,广信股份,农药化肥,安徽,17.48,1.36,3.76,360943.97,191833.23,114024.42,84564.82,2.25,0.759,7.11,2.49,20150513,127981.77,3.4,61.84,96.72,30.76,15.71,21112.0
1589,600382,广东明珠,商贸代理,广东,18.46,3.42,4.67,777445.25,542717.19,5559.62,194872.05,4.17,0.524,10.73,1.2,20010118,239683.8,5.13,149.68,70.09,88.93,61.62,27326.0
1594,600173,卧龙地产,全国地产,浙江,14.55,7.25,7.25,552479.56,469292.81,870.12,1294.31,0.02,0.308,2.56,2.33,19990415,94253.06,1.3,20.76,268.24,38.08,21.12,36094.0
1607,600508,上海能源,煤炭开采,上海,10.56,7.23,7.23,1423085.38,298966.91,535548.63,91517.17,1.27,0.86,12.53,0.97,20010829,682193.0,9.44,33.73,108.54,38.38,12.99,48944.0
1612,600160,巨化股份,化工原料,浙江,19.88,20.45,21.12,1335084.63,669780.69,484855.44,534529.19,2.53,0.383,5.17,1.96,19980626,290812.34,1.38,36.03,1042.98,19.88,8.06,73362.0
1648,600326,西藏天路,建筑施工,西藏,18.57,8.65,8.65,743955.5,405344.81,245383.05,80400.8,0.93,0.45,3.08,3.05,20010116,90031.56,1.04,30.16,92.45,31.11,12.96,118987.0
1672,600123,兰花科创,煤炭开采,山西,9.79,11.42,11.42,2734333.5,781472.94,712579.19,27067.93,0.24,0.65,8.26,1.03,19981217,600317.63,5.25,108.78,416.64,36.11,12.51,68981.0
1720,600549,厦门钨业,小金属,福建,31.92,8.87,10.87,1818278.75,966455.5,527476.38,333587.84,3.07,0.541,6.32,3.64,20021107,205164.69,1.89,79.73,283.85,22.81,5.79,89765.0
1762,600779,水井坊,白酒,四川,70.75,4.89,4.89,247325.38,181354.06,42349.55,39950.6,0.82,0.498,3.05,15.43,19961206,24450.48,0.5,85.18,63.22,78.88,16.54,29572.0
1772,603167,渤海轮渡,水运,山东,11.61,4.81,4.81,408563.81,75527.61,327375.75,106257.17,2.21,0.744,6.72,1.71,20120906,145052.27,3.01,29.74,58.89,37.11,31.3,33739.0
1777,600673,东阳光科,铝,广东,39.54,24.57,24.69,1251651.0,491206.75,414112.81,13901.63,0.06,0.131,1.62,4.27,19930917,128009.05,0.52,42.69,359.31,19.12,5.97,100943.0
1778,600459,贵研铂业,小金属,云南,48.49,2.61,2.61,507567.31,400035.63,74149.56,116742.17,4.47,0.34,7.33,3.0,20030516,40720.26,1.56,50.37,55.62,2.56,0.79,38084.0
1784,600126,杭钢股份,普钢,浙江,11.4,9.27,25.98,2476663.0,973271.19,999264.69,1104733.0,4.25,0.458,6.14,1.13,19980311,177539.52,0.68,45.91,124.92,8.84,5.81,45320.0
1791,600711,盛屯矿业,小金属,福建,24.28,14.97,14.97,1138333.88,621505.75,71416.65,198666.81,1.33,0.253,2.91,2.81,19960531,84315.6,0.56,51.15,223.1,7.16,2.97,117042.0
1795,601020,华钰矿业,铅锌,西藏,38.31,2.83,5.26,282479.69,55946.86,68917.82,36697.71,0.7,0.393,3.24,6.2,20160316,71084.15,1.35,40.23,95.05,65.12,37.14,34809.0
1804,600403,*ST大有,煤炭开采,河南,20.59,23.91,23.91,1541595.75,586950.75,679649.69,32854.75,0.14,0.173,2.93,1.62,20031009,368973.47,1.54,103.18,132.17,35.28,7.73,22465.0
1811,601216,君正集团,化工原料,内蒙,18.87,84.38,84.38,2076141.25,668039.88,690280.19,27427.05,0.03,0.191,1.8,2.67,20110222,613820.38,0.73,41.41,62.4,41.62,29.14,126519.0
1837,600155,宝硕股份,证券,河北,63.7,11.28,17.4,4179352.5,3035361.75,23636.35,1372260.38,7.89,0.13,8.67,1.28,19980918,-42327.95,-0.24,25.79,2950.0,32.17,69.78,52068.0
1851,603737,三棵树,染料涂料,福建,59.28,0.33,1.02,197130.84,101257.24,38600.2,32144.93,3.15,0.9,10.27,6.78,20160603,55790.43,5.46,40.68,72.19,40.08,5.24,9867.0
1866,600256,广汇能源,石油开采,新疆,79.57,52.21,52.21,4489483.0,469766.69,1449111.5,70263.65,0.13,0.048,2.14,2.36,20000526,437659.31,0.84,62.05,50.77,32.99,5.34,179223.0
1872,603025,大豪科技,电脑设备,北京,33.07,0.51,4.51,193013.55,146254.86,13342.05,55679.26,1.24,0.659,3.79,7.67,20150422,57396.45,1.27,55.49,83.73,52.81,38.38,19322.0
1882,600358,国旅联合,旅游服务,江苏,51.88,4.32,5.05,82735.9,51763.25,2817.86,35233.15,0.7,0.092,1.08,5.88,20000922,-30912.84,-0.61,181.4,189.83,36.03,28.06,52192.0
1902,600577,精达股份,电气设备,安徽,21.85,19.55,19.55,579696.94,413629.97,88434.84,2283.4,0.01,0.134,1.5,2.61,20020911,79976.21,0.41,38.27,52.18,11.19,3.21,140505.0
1935,600395,盘江股份,煤炭开采,贵州,12.81,16.55,16.55,1214605.5,422778.41,276751.53,242938.8,1.47,0.389,4.03,1.65,20010531,135417.3,0.82,75.74,739.33,33.68,14.81,55137.0
1950,600793,宜宾纸业,造纸,四川,17.98,1.05,1.05,365046.34,65262.05,198098.56,10537.1,1.0,0.956,1.46,15.68,19970220,-6045.06,-0.57,267.47,315.86,7.91,13.32,10500.0
1960,600710,ST常林,工程机械,江苏,24.46,6.4,13.07,4198200.5,3404250.75,563620.5,124902.45,0.96,0.209,2.99,2.28,19960701,114038.42,0.87,66.95,11581.42,5.69,0.53,37652.0
1989,600665,天地源,全国地产,上海,16.56,8.64,8.64,2024632.38,1956078.25,14156.72,20109.34,0.23,0.193,3.42,1.25,19930709,158515.8,1.83,81.19,198.12,19.24,6.3,48499.0
2011,600409,三友化工,化工原料,河北,10.7,18.5,20.64,2361229.5,687980.75,1334130.25,354488.22,1.72,0.76,4.65,2.18,20030618,367263.28,1.78,32.61,156.71,27.28,9.82,65499.0
2022,600279,重庆港九,港口,重庆,27.17,6.93,6.93,880479.63,297902.22,367416.84,210796.75,3.04,0.161,4.81,1.22,20000731,46628.4,0.67,333.32,81.06,7.39,2.16,49380.0
2049,600088,中视传媒,影视音像,上海,50.75,3.31,3.31,139084.66,94251.99,35667.09,31993.48,0.97,0.2,3.24,4.17,19970616,29466.86,0.89,47.67,622.09,28.43,13.42,22060.0
2053,601222,林洋能源,电器仪表,江苏,21.82,17.43,17.64,1387712.5,493097.94,725729.0,456139.41,2.59,0.311,4.88,1.86,20110808,208146.19,1.18,21.06,83.97,38.7,21.76,45178.0
2111,601137,博威合金,铜,浙江,23.18,5.64,6.27,500949.09,266245.41,152074.05,187757.2,2.99,0.369,5.22,2.18,20110127,69875.18,1.11,40.14,77.77,14.48,5.48,18081.0
2123,600020,中原高速,路桥,河南,7.69,22.47,22.47,5218162.0,445569.69,1848535.25,177404.47,0.79,0.36,4.29,1.16,20030808,417546.41,1.86,57.78,69.87,50.04,24.4,104817.0
2137,601011,宝泰隆,焦炭加工,黑龙江,68.98,13.09,16.11,1034219.69,273332.72,179770.47,305539.81,1.9,0.11,3.56,2.36,20110309,90979.71,0.56,81.81,494.94,27.04,7.27,150026.0
2162,603108,润达医疗,医药商业,上海,35.61,2.22,5.8,653180.69,355795.22,67721.18,102557.84,1.77,0.289,3.86,3.56,20150527,59737.0,1.03,102.0,97.67,27.91,5.73,14968.0
2205,600463,空港股份,园区开发,北京,42.0,3.0,3.0,284860.84,169269.13,4315.8,63739.06,2.12,0.196,4.81,2.28,20040318,44018.26,1.47,194.98,134.62,18.99,4.69,21363.0
2207,600351,亚宝药业,中成药,山西,29.26,6.92,7.87,446493.59,187617.63,183589.38,107806.06,1.37,0.188,3.5,2.1,20020926,74633.55,0.95,39.25,115.44,55.41,8.06,60262.0
2221,600135,乐凯胶片,化工原料,河北,45.34,3.68,3.73,218223.97,155902.95,38276.44,89991.36,2.41,0.186,4.55,2.48,19980122,27853.4,0.75,34.55,67.86,18.06,4.89,38957.0
