,code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
988,2756,永兴特钢,特种钢,浙江,30.47,1.4,3.6,369425.63,243027.22,48828.12,82600.57,2.29,0.463,8.85,3.19,20150515,177511.3,4.93,30.87,25.84,13.91,8.51,14084
989,2739,万达电影,影视音像,北京,32.24,4.23,11.74,1965773.75,359108.13,209867.47,459088.41,3.91,0.404,9.36,5.56,20150122,446950.59,3.81,10.01,2.26,33.21,14.23,91060
990,2701,奥瑞金,广告包装,北京,22.53,18.0,23.55,1502535.0,559749.56,367796.97,6308.46,0.03,0.069,2.23,2.78,20121011,254528.22,1.08,-24.56,-47.39,26.59,12.54,63054
991,2694,顾地科技,塑料,湖北,1037.67,4.95,5.97,281399.22,176726.84,71975.0,57539.71,0.96,0.011,1.64,13.28,20120816,21698.4,0.36,19.19,-23.59,23.34,0.8,5631
992,2684,猛狮科技,电气设备,广东,861.4,3.23,5.67,772445.5,432030.94,127928.05,219698.47,3.87,0.006,5.02,4.23,20120612,25418.24,0.45,140.06,32.82,25.74,0.78,13456
993,2676,顺威股份,塑料,广东,442.08,7.2,7.2,200534.2,129693.5,51997.0,38074.21,0.53,0.009,1.52,10.54,20120525,26799.14,0.37,25.88,35.59,21.1,1.7,7843
994,2669,康达新材,化工原料,上海,71.41,1.71,2.31,179963.06,143164.16,24441.55,102616.93,4.45,0.103,7.07,4.14,20120416,33422.7,1.45,-16.19,-19.55,39.25,19.84,7102
995,2668,奥马电器,家用电器,广东,63.82,3.85,6.35,856227.63,641444.94,113404.26,230476.3,3.63,0.076,6.11,3.17,20120416,123408.65,1.94,13.53,15.27,28.31,3.9,15913
996,2663,普邦股份,建筑施工,广东,339.03,11.74,17.96,755446.0,561777.88,36598.55,144550.17,0.8,0.004,2.57,2.14,20120316,108766.6,0.61,38.21,-22.29,17.66,1.21,104464
997,2654,万润科技,半导体,深圳,50.48,5.04,8.28,410269.19,172606.31,49641.2,127075.61,1.54,0.092,3.07,3.02,20120217,40994.44,0.5,119.55,20.13,18.86,5.94,46807
998,2650,加加食品,食品,湖南,33.89,9.45,11.52,281663.47,70340.25,154549.52,21154.9,0.18,0.086,1.78,3.28,20120106,58589.76,0.51,1.48,1.36,27.96,10.17,41156
999,2638,勤上股份,半导体,广东,70.44,9.37,15.19,729768.06,504267.44,29162.81,346132.94,2.28,0.029,3.38,2.41,20111125,8062.02,0.05,14.79,38.35,34.36,14.32,30012
1000,2625,光启技术,汽车配件,浙江,648.19,2.0,12.68,757901.88,708269.38,29812.06,591899.0,4.67,0.02,5.88,6.18,20111103,24701.3,0.19,10.02,105.55,35.46,16.64,29445
1001,2622,融钰集团,电气设备,吉林,429.44,8.39,8.4,127986.4,39641.46,23117.32,62.08,0.0,0.007,1.4,8.79,20111018,30370.38,0.36,39.22,71.48,55.78,46.73,32853
1002,2621,三垒股份,专用机械,辽宁,296.63,2.02,3.38,117599.82,103242.05,6483.77,50795.21,1.51,0.013,3.35,4.53,20110929,35267.8,1.04,-6.44,-33.88,36.85,27.24,8215
1003,2619,艾格拉斯,互联网,浙江,44.11,6.12,16.42,402141.19,157582.7,188.88,151755.97,0.92,0.08,2.46,2.59,20110929,56284.56,0.34,45.13,82.77,70.77,39.44,46277
